"part","per","TL","BL","TR","BR","right","self_adv","other_adv","self_dis","other_dis","selfish"
3,42,23,37,40,20,0,40,20,23,37,0
3,43,32,28,40,20,0,40,20,32,28,0
3,44,34,26,60,0,0,60,0,34,26,0
3,45,57,3,30,30,1,57,3,30,30,0
3,46,30,30,45,15,0,45,15,30,30,0
3,47,15,45,50,10,0,50,10,15,45,0
3,48,57,3,20,40,1,57,3,20,40,0
3,49,32,28,34,26,0,34,26,32,28,0
3,50,27,33,35,25,0,35,25,27,33,0
3,51,34,26,39,21,0,39,21,34,26,0
3,52,27,33,39,21,0,39,21,27,33,0
3,53,30,30,31,29,0,31,29,30,30,0
3,54,26,34,60,0,0,60,0,26,34,0
3,55,50,10,31,29,1,50,10,31,29,0
3,56,34,26,35,25,0,35,25,34,26,0
3,57,60,0,39,21,1,60,0,39,21,0
3,58,33,27,50,10,0,50,10,33,27,0
3,59,40,20,31,29,1,40,20,31,29,0
3,60,31,29,39,21,0,39,21,31,29,0
3,61,33,27,32,28,1,33,27,32,28,0
3,62,55,5,10,50,1,55,5,10,50,0
3,63,31,29,60,0,0,60,0,31,29,0
3,64,29,31,40,20,0,40,20,29,31,0
3,65,60,0,28,32,1,60,0,28,32,0
3,66,39,21,29,31,1,39,21,29,31,0
3,67,31,29,33,27,0,33,27,31,29,0
3,68,40,20,35,25,1,40,20,35,25,0
3,69,26,34,39,21,0,39,21,26,34,0
3,70,21,39,45,15,0,45,15,21,39,0
3,71,40,20,55,5,0,55,5,40,20,0
3,72,32,28,50,10,0,50,10,32,28,0
3,73,55,5,50,10,1,55,5,50,10,0
3,74,60,0,37,23,1,60,0,37,23,0
3,75,50,10,57,3,0,57,3,50,10,0
3,76,57,3,60,0,0,60,0,57,3,0
3,77,33,27,37,23,0,37,23,33,27,0
3,78,55,5,32,28,1,55,5,32,28,0
3,79,28,32,34,26,0,34,26,28,32,0
3,80,45,15,60,0,0,60,0,45,15,0
3,81,45,15,32,28,1,45,15,32,28,0
3,82,60,0,32,28,1,60,0,32,28,0
3,83,57,3,35,25,1,57,3,35,25,0
3,84,33,27,34,26,0,34,26,33,27,0
3,85,39,21,23,37,1,39,21,23,37,0
3,86,55,5,29,31,1,55,5,29,31,0
3,87,50,10,20,40,1,50,10,20,40,0
3,88,60,0,23,37,1,60,0,23,37,0
3,89,45,15,25,35,1,45,15,25,35,0
3,90,40,20,34,26,1,40,20,34,26,0
3,91,20,40,55,5,0,55,5,20,40,0
3,92,50,10,21,39,1,50,10,21,39,0
3,93,60,0,50,10,1,60,0,50,10,0
3,94,20,40,60,0,0,60,0,20,40,0
3,95,57,3,31,29,1,57,3,31,29,0
3,96,23,37,50,10,0,50,10,23,37,0
3,97,29,31,37,23,0,37,23,29,31,0
3,98,50,10,40,20,1,50,10,40,20,0
3,99,39,21,50,10,0,50,10,39,21,0
3,100,29,31,32,28,0,32,28,29,31,0
3,101,27,33,33,27,0,33,27,27,33,0
3,102,33,27,29,31,1,33,27,29,31,0
3,103,39,21,25,35,1,39,21,25,35,0
3,104,34,26,55,5,0,55,5,34,26,0
3,105,3,57,60,0,0,60,0,3,57,0
3,106,37,23,50,10,0,50,10,37,23,0
3,107,60,0,33,27,1,60,0,33,27,0
3,108,28,32,40,20,0,40,20,28,32,0
3,109,37,23,34,26,1,37,23,34,26,0
3,110,29,31,34,26,0,34,26,29,31,0
3,111,37,23,57,3,0,57,3,37,23,0
3,112,50,10,26,34,1,50,10,26,34,0
3,113,33,27,28,32,1,33,27,28,32,0
3,114,28,32,32,28,0,32,28,28,32,0
3,115,55,5,25,35,1,55,5,25,35,0
3,116,25,35,57,3,0,57,3,25,35,0
3,117,28,32,57,3,0,57,3,28,32,0
3,118,45,15,33,27,1,45,15,33,27,0
3,119,50,10,30,30,1,50,10,30,30,0
3,120,34,26,30,30,1,34,26,30,30,0
3,121,23,37,57,3,0,57,3,23,37,0
3,122,30,30,39,21,0,39,21,30,30,0
3,123,40,20,20,40,1,40,20,20,40,0
3,124,37,23,31,29,1,37,23,31,29,0
3,125,45,15,15,45,1,45,15,15,45,0
3,126,40,20,27,33,1,40,20,27,33,0
3,127,55,5,39,21,1,55,5,39,21,0
3,128,60,0,25,35,1,60,0,25,35,0
3,129,21,39,39,21,0,39,21,21,39,0
3,130,33,27,40,20,0,40,20,33,27,0
3,131,40,20,45,15,0,45,15,40,20,0
3,132,55,5,23,37,1,55,5,23,37,0
3,133,60,0,10,50,1,60,0,10,50,0
3,134,39,21,37,23,1,39,21,37,23,0
3,135,30,30,60,0,0,60,0,30,30,0
3,136,50,10,35,25,1,50,10,35,25,0
3,137,40,20,30,30,1,40,20,30,30,0
3,138,39,21,32,28,1,39,21,32,28,0
3,139,5,55,60,0,0,60,0,5,55,0
3,140,45,15,55,5,0,55,5,45,15,0
3,141,39,21,40,20,0,40,20,39,21,0
3,142,28,32,50,10,0,50,10,28,32,0
3,143,37,23,26,34,1,37,23,26,34,0
3,144,40,20,60,0,0,60,0,40,20,0
3,145,34,26,45,15,0,45,15,34,26,0
3,146,31,29,29,31,1,31,29,29,31,0
3,147,57,3,27,33,1,57,3,27,33,0
3,148,57,3,5,55,1,57,3,5,55,0
3,149,20,40,45,15,0,45,15,20,40,0
3,150,45,15,29,31,1,45,15,29,31,0
3,151,35,25,55,5,0,55,5,35,25,0
3,152,28,32,37,23,0,37,23,28,32,0
3,153,29,31,50,10,0,50,10,29,31,0
3,154,21,39,60,0,0,60,0,21,39,0
3,155,57,3,3,57,1,57,3,3,57,0
3,156,39,21,28,32,1,39,21,28,32,0
3,157,35,25,25,35,1,35,25,25,35,0
3,158,37,23,27,33,1,37,23,27,33,0
3,159,45,15,37,23,1,45,15,37,23,0
3,160,21,39,55,5,0,55,5,21,39,0
3,161,35,25,32,28,1,35,25,32,28,0
3,162,60,0,0,60,1,60,0,0,60,0
3,163,35,25,39,21,0,39,21,35,25,0
3,164,39,21,57,3,0,57,3,39,21,0
3,165,26,34,55,5,0,55,5,26,34,0
3,166,37,23,40,20,0,40,20,37,23,0
3,167,10,50,57,3,0,57,3,10,50,0
3,168,60,0,15,45,1,60,0,15,45,0
3,169,34,26,26,34,1,34,26,26,34,0
3,170,50,10,34,26,1,50,10,34,26,0
3,171,25,35,50,10,0,50,10,25,35,0
3,172,60,0,29,31,1,60,0,29,31,0
3,173,40,20,21,39,1,40,20,21,39,0
3,174,50,10,45,15,1,50,10,45,15,0
3,175,10,50,50,10,0,50,10,10,50,0
3,176,32,28,37,23,0,37,23,32,28,0
3,177,25,35,40,20,0,40,20,25,35,0
